DEÜ der
DI die
UND und
IN in
DEN den
DN den
SHMU zu
SU zu
MI+D mit
MID mit
DAS das
FON von
FWON von
ISD ist
AUF auf
IM im
SIKʃ sich
F~Ü für
NIKʃD nicht
ES es
EIN ein
DEM dem
EI/NE eine
EIn eine
DES des
AUKʃ auch
AN an
AM am
DAs dass
ALS als
WEÜ/DEN werden
WEÜND werden
WR/DN werden
HA+D hat
HAD hat
AUS aus
BEI bei
SIND sind
SI sie
NAKʃ nach
UM um
EÜ er
WI wie
W~ID wird
NOKʃ noch
EI/NEM einem
EI/NEÜ einer
EINs einer
EI/NEN einen
EINn einen
FW~O vor
F~O vor
HA/BEN haben
HA/BN haben
HAPn haben
A/BEÜ aber
A/BR aber
BR aber
WA war
SHMUM zum
BEÜ über
Ü/BEÜ über
SO so
N~U nur
N~U+ nur
MEÜ mehr
O/DEÜ oder
O/DR oder
OD oder
MAN man
W~U/D wurde
W~U/DE wurde
W~Us wurde
BIS bis
SEIN sein
SEI sei
W~I wir
W~I/DEÜ wieder
GE/GEN gegen
GKn gegen
SHM~U zur
S~U zur
GDAN kann
HA+D/DJE hatte
HAD/DJ hatte
HAD/DJE hatte
IKʃ ich
GDÄON/NEN können
GDÄONn können
HA/BE habe
D~U+Kʃ durch
D~UKʃ durch
UN/DJEÜ unter
UN/DJR unter
SJON schon
SOL soll
BDJNK/BDRO/SHME+ND Prozent
BDJNK/BDRO/SHMEND Prozent
BDJNK/BDRO/SHMND Prozent
BDRO/SHME+ND Prozent
BDRO/SHMEND Prozent
BDRO/SHMND Prozent
BDJNK/MEN/SJEN Menschen
BDJNK/MNʃn Menschen
MEN/SJEN Menschen
MNʃn Menschen
GI+PD gibt
DAN dann
BDJNK/EU/RO Euro
EU/RO Euro
SAÜK/DJE sagte
WEN wenn
WNN wenn
SHWEI zwei
BDJNK/JAÜ Jahr
JAÜ Jahr
FOM vom
FWOM vom
NUN nun
GDEI/NE keine
IM/MEÜ immer
IM/MR immer
IMs immer
~Is ihre
BE/REIs bereits
BREIs bereits
SEI/NE seine
SEIs seine
DI/SE diese
DISs diese
D~I/SE diese
W~U+/DEN wurden
W~U/DEN wurden
W~U/DN wurden
BEIM beim
AL/LE alle
LL alle
SEI+D seit
BDJNK/JAÜ/EN Jahren
BDJNK/JAÜn Jahren
JAÜ/EN Jahren
JAÜn Jahren
SEÜ sehr
AP ab
WAS was
JE+SD jetzt
MUS muss
MUSs muss
WAÜ/EN waren
MÜS/SEN müssen
MÜSn müssen
W~O/DEN worden
W~O/DN worden
GEÜ+D geht
GEÜD geht
