DEÜ der
DI die
UND und
IN in
DN den
SHMU zu
MI+D mit
DAS das
FWON von
ISD ist
AUF auf
IM im
SIKʃ sich
F~Ü für
NIKʃD nicht
ES es
EIN ein
DEM dem
EIn eine
DES des
AUKʃ auch
AN an
AM am
DAs dass
ALS als
WR/DN werden
HA+D hat
AUS aus
BEI bei
SIND sind
SI sie
NAKʃ nach
UM um
EÜ er
WI wie
W~ID wird
NOKʃ noch
EI/NEM einem
EI/NEÜ einer
EINn einen
FW~O vor
HA/BEN haben
A/BEÜ aber
WA war
SHMUM zum
BEÜ über
SO so
N~U+ nur
MEÜ mehr
O/DEÜ oder
MAN man
W~U/DE wurde
BIS bis
SEIN sein
SEI sei
W~I wir
W~I/DEÜ wieder
GKn gegen
SHM~U zur
GDAN kann
HA+D/DJE hatte
IKʃ ich
GDÄON/NEN können
HA/BE habe
D~U+Kʃ durch
UN/DJEÜ unter
SJON schon
SOL soll
BDRO/SHME+ND Prozent
MNʃn Menschen
GI+PD gibt
DAN dann
EU/RO Euro
SAÜK/DJE sagte
WEN wenn
SWEI zwei
JAÜ Jahr
FWOM vom
NUN nun
GDEI/NE keine
IM/MEÜ immer
~Is ihre
BREIs bereits
SEI/NE seine
DISs diese
W~U/DN wurden
BEIM beim
AL/LE alle
SEI+D seit
JAÜn Jahren
AP ab
WAS was
JE+SD jetzt
MUSs muss
WAÜn waren
MÜSn müssen
W~O/DN worden
GEÜD geht
D~I/SEÜ dieser
EI/NES eines
~U Uhr
NEU/E neue
FW~I/LE viele
WIL will
DA/MI+D damit
UNS uns
EÜS/DJN ersten
SEI/NEÜ seiner
DREI drei
D~I/SEM diesem
WEI/DJEÜ weiter
~I ihr
GU+D gut
SAÜKD sagt
BDO/LI/SHMEI Polizei
DEUʃD/LAND Deutschland
RUND rund
FW~IL viel
NEUn neuen
WEÜKn wegen
DA da
SOL/LEN sollen
SWIʃn zwischen
E+D/WA etwa
AN/Dn anderen
JAÜ/RE Jahre
SEIn seien
SELPSD selbst
INS ins
SO/W~I sowie
MIL/LI/ONn Millionen
~O/NE ohne
H~I hier
DA/BEI dabei
SEINn seinen
~I/EN ihren
E+D/WAS etwas
WEIL weil
MAKʃn machen
GA+NS ganz
DOKʃ doch
AL/LEM allem
SDEÜ+D steht
SDAD/DJ Stadt
AN/DRE andere
SEI/NEM seinem
WEÜ/DE werde
~I/EÜ ihrer
GDÄON/DJE könnte
GDOMD kommt
SON/DEÜN sondern
HAD/DJN hatten
FEÜ/GAN/GNn vergangenen
GAP gab
EÜSD erst
WOLn wollen
GDOMn kommen
